strategy,image,watermarked_path,best_attack_names,best_attack_params,best_wpsnr,attack_success_bool,notes
final_strategy,0060.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0060.bmp,,,0.0,False,
final_strategy,0061.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0061.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.0637,True,
final_strategy,0062.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0062.bmp,,,0.0,False,
final_strategy,0063.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0063.bmp,,,0.0,False,
final_strategy,0064.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0064.bmp,,,0.0,False,
final_strategy,0065.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0065.bmp,,,0.0,False,
final_strategy,0066.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0066.bmp,,,0.0,False,
final_strategy,0067.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0067.bmp,,,0.0,False,
final_strategy,0068.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0068.bmp,,,0.0,False,
final_strategy,0069.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0069.bmp,median+awgn,"[[5, 5], [15.0, 123]]",34.7656,True,
final_strategy,0070.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0070.bmp,,,0.0,False,
final_strategy,0071.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0071.bmp,,,0.0,False,
final_strategy,0072.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0072.bmp,median+awgn,"[[5, 5], [20.0, 123]]",33.3721,True,
final_strategy,0073.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0073.bmp,,,0.0,False,
final_strategy,0074.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0074.bmp,,,0.0,False,
final_strategy,0075.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0075.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.1635,True,
final_strategy,0076.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0076.bmp,,,0.0,False,
final_strategy,0077.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0077.bmp,blur+median,"[[np.float64(1.6), np.float64(1.6)], [5, 5]]",30.2614,True,
final_strategy,0078.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0078.bmp,,,0.0,False,
final_strategy,0079.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0079.bmp,,,0.0,False,
final_strategy,0080.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0080.bmp,blur+awgn,"[[np.float64(1.6), np.float64(1.6)], [15.0, 123]]",32.8205,True,
final_strategy,0081.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0081.bmp,,,0.0,False,
final_strategy,0082.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0082.bmp,,,0.0,False,
final_strategy,0083.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0083.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.3353,True,
final_strategy,0084.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0084.bmp,blur+awgn,"[[np.float64(1.6), np.float64(1.6)], [20.0, 123]]",34.4568,True,
final_strategy,0085.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0085.bmp,,,0.0,False,
final_strategy,0086.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0086.bmp,,,0.0,False,
final_strategy,0087.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0087.bmp,,,0.0,False,
final_strategy,0088.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0088.bmp,,,0.0,False,
final_strategy,0089.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0089.bmp,median+awgn,"[[5, 5], [20.0, 123]]",29.8448,True,
final_strategy,0090.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0090.bmp,,,0.0,False,
final_strategy,0091.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0091.bmp,,,0.0,False,
final_strategy,0092.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0092.bmp,,,0.0,False,
final_strategy,0093.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0093.bmp,,,0.0,False,
final_strategy,0094.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0094.bmp,,,0.0,False,
final_strategy,0095.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0095.bmp,,,0.0,False,
final_strategy,0096.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0096.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.3045,True,
final_strategy,0097.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0097.bmp,median+awgn,"[[5, 5], [20.0, 123]]",32.2939,True,
final_strategy,0098.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0098.bmp,median+awgn,"[[5, 5], [10.0, 123]]",32.0375,True,
final_strategy,0099.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0099.bmp,median+awgn,"[[5, 5], [15.0, 123]]",31.8407,True,
final_strategy,0100.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0100.bmp,median+awgn,"[[5, 5], [20.0, 123]]",32.0204,True,
al_strategy_0096.bmp,median+awgn,"[[5, 5], [20.0, 123]]",34.3045,True,
final_strategy,0097.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0097.bmp,median+awgn,"[[5, 5], [15.0, 123]]",32.9075,True,
final_strategy,0098.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0098.bmp,median+awgn,"[[5, 5], [10.0, 123]]",32.0375,True,
final_strategy,0099.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0099.bmp,median+awgn,"[[5, 5], [15.0, 123]]",31.8407,True,
final_strategy,0100.bmp,/home/fede/Desktop/UniTN/multimedia_data_security/lab/CTM_ecorp/watermarked_images/final_strategy/final_strategy_0100.bmp,blur+awgn,"[[np.float64(1.4), np.float64(1.4)], [20.0, 123]]",32.224,True,
